navn,kategori,plattform,jurisdiksjon,bak_gateway,kilde_dato
Vest-Lofoten kommune,Kommuner,EU_SOVEREIGN,Norway (EEA),nei,2026-06-29
Larvik,Kommuner,US_GOOGLE,United States (CLOUD Act),nei,2026-06-29
Narvik,Kommuner,US_GOOGLE,United States (CLOUD Act),nei,2026-06-29
Trondheim,Kommuner,US_GOOGLE,United States (CLOUD Act),nei,2026-06-29
Ullensvang,Kommuner,US_GOOGLE,United States (CLOUD Act),nei,2026-06-29
Alstahaug,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Alta,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Alvdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Alver,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Andøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Aremark,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Arendal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Asker,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Askvoll,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Askøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Aukra,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Aure,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Aurland,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Aurskog-Høland,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Austevoll,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Austrheim,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Averøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Balsfjord,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bamble,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bardu kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Beiarn,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Bergen kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Berlevåg,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bindal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Birkenes,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bjerkreim,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bjørnafjorden,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bodø,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bokn,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bremanger,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Brønnøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bygland,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bykle kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Båtsfjord,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bærum,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bø,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Bømlo,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Dovre,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
